h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28
1183.698114,1263.115703,1266.47456,1380.678196,1466.495583,1587.468949,1629.273056,1868.421194,2113.364689,1757.39867,2049.664813,1830.210205,1950.312285,2016.628794,2179.669894,2437.776596,2627.27263,2379.127207,2245.573804,2295.281291,2525.936691,2739.394243,2644.898442,2836.133705,2950.943712,3140.36463,3129.516267,3160.158318
901.4062076,867.8404522,936.2726555,938.5679972,1054.076658,1115.219487,1303.098322,1373.474225,1627.372061,1795.203528,1513.296675,1770.549078,1563.515456,1721.329649,1825.070025,2006.148339,2205.206034,2354.603834,2136.880726,1999.184441,2057.140174,2417.566487,2639.020464,2556.646095,2707.233109,2811.091825,3001.284709,2988.872603
943.2842423,961.1724614,932.2496672,979.0141804,981.3357513,1063.632901,1158.591353,1474.879479,1549.595886,1723.562728,1856.476652,1608.342487,1851.034575,1578.992291,1825.864509,1941.081668,2080.733337,2237.669506,2368.751325,2144.274355,1983.72934,2074.292021,2448.220418,2641.267424,2576.402242,2712.625331,2816.907313,3034.515645
1455.833189,1512.058086,1527.471929,1507.706959,1555.005858,1556.659922,1684.472292,1844.331867,2180.127377,2231.321895,2369.094722,2486.085442,2251.995506,2570.893032,2145.331296,2419.514951,2508.373016,2618.473748,2756.169742,2891.317773,2629.592059,2378.721507,2472.676795,2798.639591,2950.653249,2891.975311,3028.753564,3148.067324
1790.899447,1878.326763,1926.774388,1937.307745,1917.316918,1951.016249,1953.585108,2168.753225,2338.472298,2568.55415,2609.097586,2730.365107,2840.73423,2533.139937,3031.99836,2559.35679,2770.813394,2840.868683,2937.471204,3079.438585,3237.0125,2828.035152,2567.76663,2649.66982,2906.347187,3043.86084,2984.943765,3141.437988
1520.490639,1768.540632,1843.874622,1876.982274,1887.635998,1873.393013,1925.730079,1930.054673,2158.493496,2274.78236,2456.995401,2492.681698,2607.085558,2752.110642,2270.934113,2824.981172,2460.46936,2627.180772,2688.647371,2788.246543,2953.771381,3199.999238,2775.701014,2548.818393,2613.312548,2845.506435,2983.580511,2916.170805
1374.965505,1463.436566,1677.175205,1728.656192,1762.14217,1769.732693,1747.612491,1835.7203,1840.311617,1996.83434,2088.929164,2249.312923,2282.979399,2433.30613,2660.172061,2125.763043,2553.056599,2265.677167,2411.949969,2475.323288,2591.449519,2850.101632,3105.553537,2735.682097,2557.024794,2615.367096,2848.507266,3006.484098
985.1442395,1038.649501,1114.88286,1260.945429,1313.014698,1336.872654,1348.661188,1311.422521,1404.964466,1408.110365,1532.068344,1613.130127,1764.436272,1808.674039,2043.833453,2295.79753,1883.649274,2220.525544,1968.378467,2119.188714,2193.077929,2374.538883,2642.880474,2865.564329,2574.311373,2412.695513,2471.275583,2738.021859
752.3693186,717.8250432,763.929224,816.0248131,963.7564634,1000.854568,1037.907394,1057.75302,1018.217622,1082.311106,1084.802497,1193.910201,1270.383941,1469.200291,1538.402404,1799.577471,1993.897835,1668.962049,1964.537713,1704.568929,1880.403979,1995.864607,2184.123348,2418.043466,2593.394477,2329.923036,2167.648527,2234.672651
674.7305503,715.2657913,685.4998302,717.0060432,769.6969373,874.9521946,932.5677587,994.9450291,1016.014654,988.9256146,1039.684371,1041.877291,1144.809571,1245.296105,1556.3089,1633.166832,1834.590919,1987.792199,1702.69313,2007.437676,1704.330789,1979.093828,2098.879776,2262.989658,2447.188595,2605.813538,2341.268346,2155.602696
